,Names,Profession,Height,Age,Nominated,Parents,Children,Picture,wikipedia_link
629,Deepak Shirke, Profession Actor ,N\A,N\A,N\A,N\A,N\A,N\A,http://en.wikipedia.org/wiki/Deepak_Shirke
630,Joginder Shelly, Profession Pilot Film Producer Screenwriter Actor Composer Singer Film Director ,N\A, Age Dec. at 60 (1949-2009) ,N\A,N\A,N\A,https://imgix.ranker.com/node_img/1622/32435066/original/joginder-films-photo-1?w=333&h=333&fit=crop&crop=faces&q=50&fm=pjpg,https://en.wikipedia.org/wiki/Joginder
631,Sharman Joshi, Profession Actor Singer Presenter , Height 1.82 , Age 39 , Nominated For Filmfare Award for Best Supporting Actor , Parents Arvind Joshi , Children Varryan Joshi Khyana Joshi Rehan Joshi ,https://imgix.ranker.com/node_img/101/2014007/original/sharman-joshi-people-in-film-photo-1?w=333&h=333&fit=crop&crop=faces&q=50&fm=pjpg,https://en.wikipedia.org/wiki/Sharman_Joshi
632,Thalaivasal Vijay,N\A,N\A,N\A,N\A,N\A,N\A,N\A,N\A
633,Prachi Desai, Profession Model Actor , Height 1.63 , Age 30 , Nominated For Filmfare Award for Best Female Debut Filmfare Award for Best Supporting Actress ,N\A,N\A,https://imgix.ranker.com/node_img/92/1831400/original/prachi-desai-people-in-tv-photo-1?w=333&h=333&fit=crop&crop=faces&q=50&fm=pjpg,https://en.wikipedia.org/wiki/Prachi_Desai
634,Shobana, Profession Actor Dancer ,N\A, Age 52 , Nominated For Filmfare Award for Best Actress – Malayalam , Parents Shri Chandrakumar Anandam Chandrakumar , Children Narayani Chandrakumar ,https://imgix.ranker.com/node_img/102/2022143/original/shobhana-chandrakumar-people-in-film-photo-1?w=333&h=333&fit=crop&crop=faces&q=50&fm=pjpg,https://en.wikipedia.org/wiki/Shobana
635,Navneet Nishan, Profession Actor ,N\A, Age 53 , Nominated For Filmfare Award for Best Performance in a Comic Role Indian Telly Award for Best Actress in a Negative Role ,N\A,N\A,N\A,https://en.wikipedia.org/wiki/Navneet_Nishan
636,Asha Sachdev, Profession Actor , Height 1.65 ,N\A, Nominated For Filmfare Award for Best Supporting Actress ,N\A,N\A,https://imgix.ranker.com/user_node_img/26/500510/original/asha-sachdev-people-in-film-photo-u1?w=333&h=333&fit=crop&crop=faces&q=50&fm=pjpg,https://en.wikipedia.org/wiki/Asha_Sachdev
637,Vidya Sinha, Profession Model Actor ,N\A, Age 71 , Nominated For STAR Parivaar Award for Favourite Buzurg , Parents S. Maan Singh , Children Janhavi Iyer ,https://imgix.ranker.com/node_img/117/2336823/original/vidya-sinha-people-in-film-photo-1?w=333&h=333&fit=crop&crop=faces&q=50&fm=pjpg,https://en.wikipedia.org/wiki/Vidya_Sinha
638,Lakshmi Rai, Profession Model Actor , Height 1.7 , Age 29 , Nominated For Filmfare Award for Best Supporting Actress – Tamil Filmfare Award for Best Supporting Actress – Malayalam ,N\A,N\A,https://imgix.ranker.com/node_img/71/1407862/original/lakshmi-rai-people-in-film-photo-1?w=333&h=333&fit=crop&crop=faces&q=50&fm=pjpg,https://en.wikipedia.org/wiki/Raai_Laxmi
639,Suchitra Sen, Profession Actor ,N\A, Age Dec. at 83 (1931-2014) , Nominated For Filmfare Award for Best Actress , Parents Karunamoy Dasgupta Indira Devi , Children Moon Moon Sen ,https://imgix.ranker.com/user_node_img/106/2117235/original/suchitra-sen-u3?w=333&h=333&fit=crop&crop=faces&q=50&fm=pjpg,https://en.wikipedia.org/wiki/Suchitra_Sen
640,Rami Reddy,N\A,N\A,N\A,N\A,N\A,N\A,N\A,N\A
641,Nasir Hussain, Profession Film Producer Screenwriter Film Director ,N\A, Age Dec. at 71 (1931-2002) , Nominated For Filmfare Award for Best Film ,N\A, Children Mansoor Khan Nuzhat Khan ,N\A,https://en.wikipedia.org/wiki/Nasir_Hussain
642,Amol Palekar,N\A,N\A,N\A,N\A,N\A,N\A,N\A,N\A
643,N. T. Rama Rao Jr., Profession Actor Playback singer Dancer , Height 1.68 , Age 35 , Nominated For Filmfare Award for Best Actor – Telugu , Parents Nandamuri Harikrishna Shalini Nandamuri ,N\A,https://imgix.ranker.com/user_node_img/86/1700503/original/ntr-jr-people-in-film-photo-u3?w=333&h=333&fit=crop&crop=faces&q=50&fm=pjpg,https://en.wikipedia.org/wiki/N._T._Rama_Rao_Jr.
644,Indrajith Sukumaran, Profession Actor Singer , Height 1.72 , Age 38 , Nominated For Filmfare Award for Best Supporting Actor – Malayalam , Parents Mallika Sukumaran Sukumaran , Children Nakshatra Indrajith Prarthana Indrajith ,https://imgix.ranker.com/node_img/61/1219878/original/indrajith-people-in-film-photo-1?w=333&h=333&fit=crop&crop=faces&q=50&fm=pjpg,https://en.wikipedia.org/wiki/Indrajith
645,Mamata Shankar, Profession Choreographer Actor Dancer ,N\A, Age 64 ,N\A, Parents Uday Shankar Amala Shankar , Children Ratul Shankar Rajit Shankar ,https://imgix.ranker.com/user_node_img/76/1506974/original/mamata-shankar-people-in-film-photo-u1?w=333&h=333&fit=crop&crop=faces&q=50&fm=pjpg,https://en.wikipedia.org/wiki/Mamata_Shankar
646,Chandrima Bhaduri,N\A,N\A,N\A,N\A,N\A,N\A,N\A,N\A
647,Farooq Shaikh, Profession Actor Presenter ,N\A, Age Dec. at 65 (1948-2013) , Nominated For Apsara Award for Best Actor in a Supporting Role Indian Telly Award for Best Anchor/s National Film Award for Best Supporting Actor , Parents Farida Shaikh Mustafa Shaikh , Children Rubina Shaikh Sanaa Shaikh Shaista Shaikh ,https://imgix.ranker.com/node_img/49/978205/original/farooq-shaikh-people-in-tv-photo-1?w=333&h=333&fit=crop&crop=faces&q=50&fm=pjpg,https://en.wikipedia.org/wiki/Farooq_Sheikh
648,M. G. Soman, Profession Soldier Actor ,N\A, Age Dec. at 56 (1941-1997) ,N\A, Parents P.K. Bhavani Amma Konni Kudukkillethu Veettil K.N. Govinda Panicker , Children Saji Somashekharan Sindhu Somashekharan ,https://imgix.ranker.com/node_img/83/1640599/original/m-g-soman-people-in-film-photo-1?w=333&h=333&fit=crop&crop=faces&q=50&fm=pjpg,https://en.wikipedia.org/wiki/M._G._Soman
649,Ranjit Mullick, Profession Actor ,N\A, Age 74 ,N\A,N\A, Children Koel Mallick ,https://imgix.ranker.com/node_img/94/1873759/original/ranjit-mullick-people-in-film-photo-1?w=333&h=333&fit=crop&crop=faces&q=50&fm=pjpg,https://en.wikipedia.org/wiki/Ranjit_Mallick
650,Shernaz Patel, Profession Actor ,N\A,N\A, Nominated For Apsara Award for Best Actress in a Supporting Role IIFA Award for Best Supporting Actress , Parents Burjor Patel Ruby Patel ,N\A,https://imgix.ranker.com/node_img/3105/62081875/original/shernaz-patel-people-in-film-photo-1?w=333&h=333&fit=crop&crop=faces&q=50&fm=pjpg,http://en.wikipedia.org/wiki/Shernaz_Patel
651,Kalamandalam Haridas, Profession Musician Actor Singer ,N\A, Age Dec. at 59 (1946-2005) ,N\A,N\A, Children Sharath ,https://imgix.ranker.com/node_img/68/1343336/original/kalamandalam-haridas-recording-artists-and-groups-photo-1?w=333&h=333&fit=crop&crop=faces&q=50&fm=pjpg,https://en.wikipedia.org/wiki/Kalamandalam_Haridas
652,Pamela Chopra,N\A,N\A,N\A,N\A,N\A,N\A,N\A,N\A
653,Sandhya,N\A,N\A,N\A,N\A,N\A,N\A,N\A,N\A
654,Mahesh Babu, Profession Actor , Height 1.91 , Age 43 , Nominated For Filmfare Award for Best Actor – Telugu , Parents Indira Devi Krishna , Children Sitara Ghattamaneni Gautam Krishna Ghattamaneni ,https://imgix.ranker.com/user_node_img/76/1500567/original/mahesh-babu-people-in-tv-photo-u5?w=333&h=333&fit=crop&crop=faces&q=50&fm=pjpg,https://en.wikipedia.org/wiki/Mahesh_Babu
655,Deepak Tijori, Profession Film Producer Actor Film Director ,N\A, Age 57 ,N\A,N\A,N\A,https://imgix.ranker.com/node_img/42/834363/original/deepak-tijori-writers-photo-1?w=333&h=333&fit=crop&crop=faces&q=50&fm=pjpg,https://en.wikipedia.org/wiki/Deepak_Tijori
656,Shivaji Satham,N\A,N\A,N\A,N\A,N\A,N\A,N\A,N\A
657,Karthik, Profession Film Score Composer Actor Playback singer Composer Singer ,N\A, Age 38 , Nominated For Filmfare Award for Best Male Playback Singer – Malayalam Filmfare Award for Best Male Playback Singer – Telugu Vijay Award for Best Male Playback Singer Filmfare Award for Best Male Playback Singer – Tamil Filmfare Award for Best Male Playback Singer – Kannada ,N\A,N\A,https://imgix.ranker.com/user_node_img/8/142585/original/karthik-recording-artists-and-groups-photo-u3?w=333&h=333&fit=crop&crop=faces&q=50&fm=pjpg,https://en.wikipedia.org/wiki/Karthik_(singer)
658,Ileana D'Cruz, Profession Model Actor , Height 1.65 , Age 28 , Nominated For Filmfare Award for Best Supporting Actress Vijay Award for Favourite Heroine Filmfare Award for Best Actress – Telugu , Parents Ronaldo D'Cruz Samira D'Cruz ,N\A,https://imgix.ranker.com/user_node_img/61/1211176/original/ileana-d_cruz-photo-u22?w=333&h=333&fit=crop&crop=faces&q=50&fm=pjpg,https://en.wikipedia.org/wiki/Ileana_D%27Cruz
659,Sudhir Dalvi, Profession Actor ,N\A,N\A,N\A,N\A,N\A,N\A,https://en.wikipedia.org/wiki/Sudhir_Dalvi
660,Prabhas, Profession Actor , Height 1.89 , Age 39 , Nominated For Filmfare Award for Best Actor – Telugu , Parents Siva Kumari Suryanarayana Raju ,N\A,https://imgix.ranker.com/user_node_img/92/1831365/original/prabhas-raju-uppalapati-people-in-film-photo-u4?w=333&h=333&fit=crop&crop=faces&q=50&fm=pjpg,https://en.wikipedia.org/wiki/Prabhas
661,Rituparno Ghosh, Profession Screenwriter Actor Film Director ,N\A, Age Dec. at 50 (1963-2013) , Nominated For National Film Award for Best Feature Film in Bengali National Film Award for Best Direction ,N\A,N\A,https://imgix.ranker.com/node_img/96/1913562/original/rituparno-ghosh-writers-photo-1?w=333&h=333&fit=crop&crop=faces&q=50&fm=pjpg,https://en.wikipedia.org/wiki/Rituparno_Ghosh
662,Balakrishna, Profession Actor ,N\A, Age Dec. at 82 (1913-1995) ,N\A,N\A,N\A,N\A,https://en.wikipedia.org/wiki/Balakrishna_(Kannada_actor)
663,Dhanush, Profession Film Producer Screenwriter Lyricist Actor Playback singer ," Height 5'6"" ", Age 35 , Nominated For Vijay Award for Favourite Hero National Film Award for Best Actor Vijay Award for Best Actor Vijay Award for Best Lyricist Vijay Award for Best Male Playback Singer Filmfare Award for Best Male Playback Singer – Tamil Filmfare Award for Best Actor – Tamil , Parents Kasthuri Raja Vijayalakshmi , Children Yatra Raja Linga Raja ,https://imgix.ranker.com/node_img/43/851491/original/dhanush-people-in-tv-photo-1?w=333&h=333&fit=crop&crop=faces&q=50&fm=pjpg,https://en.wikipedia.org/wiki/Dhanush
664,Ronit Roy, Profession Businessperson Actor ,N\A, Age 53 , Nominated For Indian Telly Award for Best Actor in a Lead Role IIFA Award for Best Performance in a Negative Role Apsara Award for Best Actor in a Negative Role Apsara Award for Best Actor in a Drama Series , Parents Dolly Bose Roy Brotindranath Roy , Children Aador Roy Ona Roy Agasthya Bose Roy ,https://imgix.ranker.com/node_img/97/1935557/original/ronit-roy-people-in-tv-photo-1?w=333&h=333&fit=crop&crop=faces&q=50&fm=pjpg,https://en.wikipedia.org/wiki/Ronit_Roy
665,Sakina Jaffrey,N\A,N\A,N\A,N\A,N\A,N\A,N\A,N\A
666,Rajit Kapur, Profession Actor ,N\A, Age 55 ,N\A,N\A,N\A,https://imgix.ranker.com/node_img/94/1868689/original/rajit-kapur-people-in-film-photo-1?w=333&h=333&fit=crop&crop=faces&q=50&fm=pjpg,https://en.wikipedia.org/wiki/Rajit_Kapur
667,Allu Arjun, Profession Actor , Height 1.8 , Age 33 , Nominated For Filmfare Award for Best Actor – Telugu , Parents Nirmala Allu Allu Aravind ,N\A,https://imgix.ranker.com/user_node_img/22/437323/original/allu-arjun-actors-photo-u3?w=333&h=333&fit=crop&crop=faces&q=50&fm=pjpg,https://en.wikipedia.org/wiki/Allu_Arjun
668,Ila Arun, Profession Film Score Composer Actor Singer TV Personality ,N\A, Age 89 , Nominated For Apsara Award for Best Actress in a Supporting Role IIFA Award for Best Supporting Actress ,N\A, Children Ishita Arun ,https://imgix.ranker.com/node_img/61/1211108/original/ila-arun-recording-artists-and-groups-photo-1?w=333&h=333&fit=crop&crop=faces&q=50&fm=pjpg,https://en.wikipedia.org/wiki/Ila_Arun
669,Reeta Bhaduri, Profession Actor , Height 1.55 ,N\A, Nominated For Filmfare Award for Best Supporting Actress ,N\A, Children Shiladitya Verma Tathagat Verma ,N\A,http://en.wikipedia.org/wiki/Rita_Bhaduri
670,Dev Patel, Profession Actor Athlete , Height 1.87 , Age 28 , Nominated For BAFTA Award for Best Actor in a Leading Role Screen Actors Guild Award for Outstanding Performance by a Cast in a Motion Picture Screen Actors Guild Award for Best Supporting Actor - Motion Picture Razzie Award for Worst Supporting Actor British Independent Film Award for Most Promising Newcomer MTV Movie Award for Best Kiss MTV Movie Award for Best Breakthrough Performance - Male Broadcast Film Critics Association Award for Best Young Performer European Film Award for Best Actor , Parents Anita Patel Raj Patel ,N\A,https://imgix.ranker.com/node_img/43/849721/original/dev-patel-people-in-tv-photo-1?w=333&h=333&fit=crop&crop=faces&q=50&fm=pjpg,https://en.wikipedia.org/wiki/Dev_Patel
671,Shamita Shetty, Profession Interior designer Model Actor , Height 1.65 , Age 40 ,N\A, Parents Sunanda Shetty Surendra Shetty ,N\A,https://imgix.ranker.com/user_node_img/101/2011980/original/shamita-shetty-people-in-film-photo-u2?w=333&h=333&fit=crop&crop=faces&q=50&fm=pjpg,https://en.wikipedia.org/wiki/Shamita_Shetty
672,Abhishek Chatterjee, Profession Actor ,N\A, Age 54 ,N\A,N\A,N\A,N\A,https://en.wikipedia.org/wiki/Abhishek_Chatterjee
673,Farha Naaz, Profession Actor ,N\A, Age 50 ,N\A, Parents Rizwana Jamal Hashmi , Children Fateh Randhawa ,https://imgix.ranker.com/node_img/2143/42851013/original/farah-people-in-film-photo-1?w=333&h=333&fit=crop&crop=faces&q=50&fm=pjpg,https://en.wikipedia.org/wiki/Farah_(actress)
674,Sameer, Profession Screenwriter Lyricist Actor ,N\A, Age 57 , Nominated For Filmfare Award for Best Lyricist IIFA Award for Best Lyricist Zee Cine Award for Best Lyricist Apsara Award for Best Lyrics , Parents Indira Pandey Anjaan , Children Siddhesh Suchita Sanchita ,N\A,https://en.wikipedia.org/wiki/Sameer_Anjaan_(lyricist)
675,Prashanth, Profession Businessperson Actor ,N\A, Age 45 ,N\A, Parents Thyagarajan ,N\A,https://imgix.ranker.com/node_img/92/1832206/original/prashanth-people-in-film-photo-1?w=333&h=333&fit=crop&crop=faces&q=50&fm=pjpg,https://en.wikipedia.org/wiki/Prashanth
676,Parvin Dabas,N\A,N\A,N\A,N\A,N\A,N\A,N\A,N\A
677,Himesh Reshammiya,N\A,N\A,N\A,N\A,N\A,N\A,N\A,N\A
678,V. K. Ramasamy, Profession Comedian Film Producer Actor ,N\A, Age Dec. at 76 (1926-2002) ,N\A,N\A,N\A,N\A,https://en.wikipedia.org/wiki/V._K._Ramaswamy
679,Sankaradi, Profession Comedian Actor ,N\A, Age Dec. at 77 (1924-2001) ,N\A, Parents Paravoor Memana Parameswara Pillai Thoppil Parambil Janaki Amma ,N\A,https://imgix.ranker.com/node_img/1679/33564182/original/sankaradi-people-in-film-photo-1?w=333&h=333&fit=crop&crop=faces&q=50&fm=pjpg,https://en.wikipedia.org/wiki/Sankaradi
680,Mahi Gill, Profession Actor ,N\A, Age 43 , Nominated For Apsara Award for Best Actress in a Leading Role IIFA Award for Best Actress Filmfare Award for Best Actress ,N\A,N\A,https://imgix.ranker.com/user_node_img/1639/32765027/original/mahi-gill-people-in-film-photo-u1?w=333&h=333&fit=crop&crop=faces&q=50&fm=pjpg,https://en.wikipedia.org/wiki/Mahie_Gill
681,Yatin Karyekar,N\A,N\A,N\A,N\A,N\A,N\A,N\A,N\A
682,Sahil Khan,N\A,N\A,N\A,N\A,N\A,N\A,N\A,N\A
683,Mukul Dev, Profession Model Actor ,N\A,N\A,N\A,N\A,N\A,https://imgix.ranker.com/user_node_img/3105/62098806/original/mukul-dev-photo-u1?w=333&h=333&fit=crop&crop=faces&q=50&fm=pjpg,http://en.wikipedia.org/wiki/Mukul_Dev
684,Darshan Thoogudeep, Profession Film Producer Actor , Height 1.91 , Age 42 , Nominated For Filmfare Award for Best Actor – Kannada , Parents Thoogudeep Meena Thoogudeepa Srinivas Thoogudeepa Srinivas , Children Vineesh Thoogudeep ,https://imgix.ranker.com/user_node_img/41/817196/original/darshan-tugudeep-all-people-photo-u3?w=333&h=333&fit=crop&crop=faces&q=50&fm=pjpg,https://en.wikipedia.org/wiki/Darshan_(actor)
685,Jaishankar, Profession Actor ,N\A, Age Dec. at 62 (1938-2000) ,N\A,N\A, Children Dr.Vijay Shankar ,https://imgix.ranker.com/node_img/63/1257254/original/jaishankar-people-in-film-photo-1?w=333&h=333&fit=crop&crop=faces&q=50&fm=pjpg,https://en.wikipedia.org/wiki/Jaishankar
686,Padmapriya Janakiraman, Profession Model Actor ,N\A, Age 38 , Nominated For Vijay Award for Best Actress Filmfare Award for Best Actress – Tamil Filmfare Award for Best Actress – Malayalam National Film Award – Special Jury Award / Special Mention (Feature Film) , Parents Vijaya Janakiraman ,N\A,https://imgix.ranker.com/node_img/88/1745081/original/padmapriya-janakiraman-people-in-film-photo-1?w=333&h=333&fit=crop&crop=faces&q=50&fm=pjpg,https://en.wikipedia.org/wiki/Padmapriya_Janakiraman
687,Ambika, Profession Actor ,N\A, Age 55 ,N\A,N\A,N\A,https://imgix.ranker.com/node_img/2739/54771922/original/ambika-people-in-film-photo-1?w=333&h=333&fit=crop&crop=faces&q=50&fm=pjpg,https://en.wikipedia.org/wiki/Ambika_(actress)
688,Alia Bhatt, Profession Model Actor ,N\A, Age 25 , Nominated For Filmfare Award for Best Female Debut Apsara Award for Best Female Debut , Parents Soni Razdan Mahesh Bhatt ,N\A,https://imgix.ranker.com/user_node_img/3171/63417403/original/alia-bhatt-people-in-film-photo-u1?w=333&h=333&fit=crop&crop=faces&q=50&fm=pjpg,http://en.wikipedia.org/wiki/Alia_Bhatt
689,Mukesh Khanna, Profession Actor ,N\A, Age 60 , Nominated For Indian Telly Award for Best Actor in a Supporting Role ,N\A,N\A,https://imgix.ranker.com/node_img/82/1628272/original/mukesh-khanna-people-in-tv-photo-1?w=333&h=333&fit=crop&crop=faces&q=50&fm=pjpg,https://en.wikipedia.org/wiki/Mukesh_Khanna
690,Seema Deo,N\A,N\A,N\A,N\A,N\A,N\A,N\A,N\A
691,Biswajit Chatterjee,N\A,N\A,N\A,N\A,N\A,N\A,N\A,N\A
692,James Hayter, Profession Actor ,N\A, Age Dec. at 76 (1907-1983) , Nominated For BAFTA Award for Best British Actor ,N\A,N\A,https://imgix.ranker.com/node_img/64/1261632/original/james-hayter-people-in-tv-photo-1?w=333&h=333&fit=crop&crop=faces&q=50&fm=pjpg,https://en.wikipedia.org/wiki/James_Hayter_(actor)
693,Imtiaz Khan,N\A,N\A,N\A,N\A,N\A,N\A,N\A,N\A
694,Aishwarya,N\A,N\A,N\A,N\A,N\A,N\A,N\A,N\A
695,Soha Ali Khan,N\A,N\A,N\A,N\A,N\A,N\A,N\A,N\A
696,Gita Dey, Profession Actor ,N\A, Age Dec. at 80 (1931-2011) ,N\A,N\A,N\A,N\A,https://en.wikipedia.org/wiki/Gita_Dey
697,Tara Sharma, Profession Model Actor Presenter ,N\A, Age 42 ,N\A, Parents Partap Sharma Susan Sharma , Children Kai Zen ,N\A,https://en.wikipedia.org/wiki/Tara_Sharma
698,Jayam Ravi, Profession Actor , Height 1.75 , Age 38 , Nominated For Vijay Award for Best Actor Filmfare Award for Best Actor – Tamil , Parents Varalakshmi Mohan Mohan ,N\A,https://imgix.ranker.com/node_img/64/1273545/original/jayam-ravi-people-in-film-photo-1?w=333&h=333&fit=crop&crop=faces&q=50&fm=pjpg,https://en.wikipedia.org/wiki/Jayam_Ravi
699,Rajesh Khattar, Profession Screenwriter Actor Voice acting , Height 1.82 , Age 52 , Nominated For Apsara Award for Best Actor in a Negative Role ,N\A,N\A,N\A,http://en.wikipedia.org/wiki/Rajesh_Khattar
700,Satabdi Roy, Profession Politician Actor ,N\A, Age 50 ,N\A, Parents Shailen Roy Nilima Roy , Children Samyoraj Roy ,N\A,https://en.wikipedia.org/wiki/Satabdi_Roy
701,Amar Noorie, Profession Actor Singer ,N\A,N\A,N\A, Parents Roshan Sagar , Children Alaap Sikander Sarang Sikander ,N\A,http://en.wikipedia.org/wiki/Amar_Noorie
702,Kiran Rathod,N\A,N\A,N\A,N\A,N\A,N\A,N\A,N\A
703,Krishnakant,N\A,N\A,N\A,N\A,N\A,N\A,N\A,N\A
704,D. Santosh,N\A,N\A,N\A,N\A,N\A,N\A,N\A,N\A
705,Vijay Arora, Profession Actor ,N\A, Age Dec. at 63 (1944-2007) ,N\A,N\A, Children Farhad Vijay Arora ,https://imgix.ranker.com/node_img/117/2337671/original/vijay-arora-people-in-tv-photo-1?w=333&h=333&fit=crop&crop=faces&q=50&fm=pjpg,https://en.wikipedia.org/wiki/Vijay_Arora
706,Madhumati,N\A,N\A,N\A,N\A,N\A,N\A,N\A,N\A
707,Kamu Mukherjee,N\A,N\A,N\A,N\A,N\A,N\A,N\A,N\A
708,Yami Gautam, Profession Actor , Height 1.65 , Age 30 , Nominated For Filmfare Award for Best Female Debut Apsara Award for Best Female Debut , Parents Anjali Gautam Mukesh Gautam ,N\A,https://imgix.ranker.com/user_node_img/3114/62262516/original/yami-gautam-all-people-photo-u1?w=333&h=333&fit=crop&crop=faces&q=50&fm=pjpg,https://en.wikipedia.org/wiki/Yami_Gautam
709,Malikarjuna Rao, Profession Actor ,N\A, Age Dec. at 57 (1951-2008) ,N\A,N\A,N\A,N\A,http://en.wikipedia.org/wiki/Mallikarjuna_Rao_(actor)
